District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Worker Population Person,Main Cultivator Population Person,Main Agricultural Labourers Population Person,Main Household Industries Population Person,Main Other Workers Population Person,Marginal Cultivator Population Person,Marginal Agriculture Labourers Population Person,Marginal Household Industries Population Person,Marginal Other Workers Population Person,Non Working Population Person
Nagpur,CD BLOCK,Narkhed,Rural,27638,118003,62941,18594,30192,571,4233,2259,6312,149,631,55062
Nagpur,VILLAGE,Khargad,Rural,85,366,220,55,25,0,0,59,81,0,0,146
Nagpur,VILLAGE,Ambada,Rural,366,1513,784,277,239,13,52,62,119,2,20,729
Nagpur,VILLAGE,Saiwada,Rural,144,557,359,120,187,2,50,0,0,0,0,198
Nagpur,VILLAGE,Thadipavni,Rural,554,2204,1292,235,713,5,43,32,246,0,18,912
Nagpur,VILLAGE,Khedi Kh,Rural,139,517,272,21,230,0,4,0,17,0,0,245
Nagpur,VILLAGE,Kharbadi,Rural,171,733,381,87,6,0,8,103,174,0,3,352
Nagpur,VILLAGE,Mahendri,Rural,245,1029,559,196,306,4,19,1,32,0,1,470
Nagpur,VILLAGE,Nandni,Rural,76,330,191,118,59,3,7,1,3,0,0,139
Nagpur,VILLAGE,Mirjapur,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Shabaspur,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Gaulkheda,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Mundmalipura,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Jalalkheda,Rural,792,3423,1366,233,732,44,309,14,18,3,13,2057
Nagpur,VILLAGE,Ramgaon,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Madna,Rural,218,906,565,94,404,11,35,3,14,0,4,341
Nagpur,VILLAGE,Thugaon (Deo),Rural,495,2130,1035,344,547,12,64,6,39,9,14,1095
Nagpur,VILLAGE,Mohgaon,Rural,3,16,9,0,2,0,0,0,0,0,7,7
Nagpur,VILLAGE,Dindargaon,Rural,194,810,418,94,267,9,42,0,3,0,3,392
Nagpur,VILLAGE,Sonpur,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Bopapur,Rural,19,73,66,3,57,2,4,0,0,0,0,7
Nagpur,VILLAGE,Milanpur,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Mohanpur,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Narsingi,Rural,294,1203,641,255,150,6,39,51,138,0,2,562
Nagpur,VILLAGE,Naigaon (Thakre),Rural,60,245,153,77,74,0,2,0,0,0,0,92
Nagpur,VILLAGE,Karimabad,Rural,348,1366,555,89,355,5,54,6,21,17,8,811
Nagpur,VILLAGE,Peth Ismailpur[Muktapur),Rural,267,1091,574,172,288,3,68,18,24,0,1,517
Nagpur,VILLAGE,Sinjar,Rural,283,1218,505,150,277,2,30,0,41,1,4,713
Nagpur,VILLAGE,Bhayyapur,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Mahajanpur,Rural,62,263,143,2,121,0,1,0,19,0,0,120
Nagpur,VILLAGE,Mamdapur,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Baradpavni,Rural,117,532,292,84,164,4,18,4,3,0,15,240
Nagpur,VILLAGE,Utara,Rural,64,219,127,18,109,0,0,0,0,0,0,92
Nagpur,VILLAGE,Tara,Rural,47,207,127,57,22,0,0,24,24,0,0,80
Nagpur,VILLAGE,Banor,Rural,89,411,232,21,195,0,1,0,15,0,0,179
Nagpur,VILLAGE,Pimpaldhara,Rural,115,428,272,143,110,0,0,0,3,6,10,156
Nagpur,VILLAGE,Dawasa,Rural,329,1292,760,293,211,13,60,46,120,3,14,532
Nagpur,VILLAGE,Sakharkheda,Rural,168,730,316,196,111,3,2,1,1,0,2,414
Nagpur,VILLAGE,Mendhala,Rural,520,2216,1376,423,304,9,69,56,496,2,17,840
Nagpur,VILLAGE,Wadvihara,Rural,252,1025,648,238,372,1,24,0,11,0,2,377
Nagpur,VILLAGE,Datewadi,Rural,216,890,556,145,331,7,23,11,27,3,9,334
Nagpur,VILLAGE,Khadki,Rural,108,456,262,49,197,4,6,1,5,0,0,194
Nagpur,VILLAGE,Rampur,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Sahajapur,Rural,55,265,179,78,23,2,0,49,26,1,0,86
Nagpur,VILLAGE,Bharsingi,Rural,246,1026,539,117,73,17,113,53,138,8,20,487
Nagpur,VILLAGE,Jolwadi,Rural,132,612,378,46,3,0,3,14,310,0,2,234
Nagpur,VILLAGE,Karanjoli,Rural,97,392,193,46,80,5,36,2,19,1,4,199
Nagpur,VILLAGE,Umatha,Rural,183,812,395,107,83,1,14,31,156,0,3,417
Nagpur,VILLAGE,Telegaon,Rural,1,1,1,0,0,0,0,0,1,0,0,0
Nagpur,VILLAGE,Wadhona,Rural,233,948,580,67,224,3,23,15,241,2,5,368
Nagpur,VILLAGE,Ramthi,Rural,293,1130,622,75,187,0,25,67,229,9,30,508
Nagpur,VILLAGE,Chichkumbha,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Udapur (Rayyatwari),Rural,44,201,115,12,0,0,2,43,58,0,0,86
